Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate,InstrStep2KResp.keys,InstrStep2KResp.rt,Choice2Entr.keys,Choice2Entr.rt,Step2Training.thisRepN,Step2Training.thisTrialN,Step2Training.thisN,Step2Training.thisIndex,Step2Training.ran,Ntrial,PChoice21,PChoice22,WallPaperColor,InstrTotKR.keys,InstrTotKR.rt,Transition,Choice2.keys,Choice2.rt,Reward,TrainingTot.thisRepN,TrainingTot.thisTrialN,TrainingTot.thisN,TrainingTot.thisIndex,TrainingTot.ran,Walk21,Walk22,Walk23,PChoice23,Walk24,PChoice24,Question.thisRepN,Question.thisTrialN,Question.thisN,Question.thisIndex,Question.ran,RepriseTacheKR.keys,RepriseTacheKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,LoopVideoG.thisRepN,LoopVideoG.thisTrialN,LoopVideoG.thisN,LoopVideoG.thisIndex,LoopVideoG.ran,Video,VraieTacheKR.keys,VraieTacheKR.rt,Task1.thisRepN,Task1.thisTrialN,Task1.thisN,Task1.thisIndex,Task1.ran,FinTache1KR.keys,FinTache1KR.rt,FinSession1KR.keys,FinSession1KR.rt
,,,,i,1.140715,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,129,0.68,0.72,,,,1,e,0.218655,0,,,,,,0.02,0.01,0,0.42,0.01,0.32,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,128,1,,,,
,,,,e,1.45629,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,161,0.62,0.7,,,,0,i,0.85176,1,,,,,,0,-0.02,-0.04,0.51,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,160,1,,,,
,,,,e,2.896325,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,17,0.68,0.6,,,,1,e,1.04652,1,,,,,,0.02,-0.03,0,0.58,0.03,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,16,1,,,,
,,,,e,0.59445,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,61,0.58,0.57,,,,0,i,0.548395,1,,,,,,-0.03,0.02,0.02,0.53,0.02,0.51,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,60,1,,,,
,,,,e,0.354895,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,130,0.67,0.7,,,,1,e,0.749675,1,,,,,,-0.01,-0.02,-0.03,0.39,-0.05,0.27,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,129,1,,,,
,,,,i,0.53626,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,108,0.63,0.67,,,,1,e,2.721665,0,,,,,,-0.01,-0.04,-0.03,0.36,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,107,1,,,,
,,,,i,1.373005,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,147,0.56,0.72,,,,1,i,1.23799,0,,,,,,-0.05,-0.03,-0.02,0.58,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,146,1,,,,
,,,,e,0.47271,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,179,0.44,0.67,,,,0,i,0.721045,0,,,,,,-0.02,-0.01,-0.01,0.41,-0.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,178,1,,,,
,,,,i,0.736775,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,158,0.6,0.75,,,,0,e,0.818065,0,,,,,,0.02,0.03,0.04,0.54,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,157,1,,,,
,,,,i,0.369815,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,168,0.57,0.64,,,,1,e,0.83151,0,,,,,,-0.02,-0.04,-0.03,0.44,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,167,1,,,,
,,,,i,0.5375,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,166,0.58,0.69,,,,1,i,0.649555,1,,,,,,-0.05,0.01,-0.01,0.47,-0.01,0.26,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,165,1,,,,
,,,,i,0.403285,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,114,0.68,0.6,,,,1,i,0.350885,0,,,,,,0.03,0.02,-0.01,0.34,-0.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,113,1,,,,
,,,,e,0.6383,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,58,0.59,0.59,,,,1,i,0.606145,0,,,,,,-0.02,0,-0.03,0.57,-0.04,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,57,1,,,,
,,,,i,1.80945,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,189,0.41,0.67,,,,0,e,0.38239,1,,,,,,-0.02,0.02,-0.02,0.29,-0.02,0.28,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,188,1,,,,
,,,,i,0.290685,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,132,0.73,0.72,,,,0,e,1.114875,0,,,,,,0.01,-0.01,0,0.39,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,131,1,,,,
,,,,i,0.29325,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,47,0.72,0.63,,,,0,e,0.71651,0,,,,,,0.02,0.01,-0.02,0.59,-0.04,0.64,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,46,1,,,,
